,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,marijuana_driving,2,0,0,0
1,2,drugged_driving,1,1,0,0
2,3,burger,1,0,1,0
3,4,salad,2,1,1,0
4,5,brunch,3,1,1,0
5,6,texting_driving,3,0,1,0
6,7,hotel,3,1,1,0
7,8,smartphone,2,0,1,0
8,9,lawyer,2,0,1,0
9,10,drunk_driving,1,1,0,0
10,11,binge_drinking,1,0,1,0
11,12,stop_smoking,4,1,1,0
12,13,pizza,2,1,1,0
13,14,underage_drinking,4,0,1,0
14,15,buckle_up,2,0,1,0
15,16,education_donation,3,0,0,0
16,17,disobey_vape,2,1,1,0
17,18,distracted_driving,2,0,0,0
18,19,coffee,1,1,1,0
19,20,furniture,1,0,0,0
