,position_index,billboard_image_at_position_text,fix_bill,recall,recognition
0,1,pizza,1.0,0,0
1,2,texting_driving,1.0,1,0
2,3,marijuana_driving,1.0,0,1
3,4,binge_drinking,2.0,0,1
4,5,smartphone,1.0,0,1
5,6,coffee,0.0,0,1
6,7,lawyer,1.0,0,0
7,8,brunch,1.0,1,1
8,9,education_donation,1.0,0,1
9,10,distracted_driving,1.0,1,1
10,11,stop_smoking,1.0,0,0
11,12,furniture,1.0,0,1
12,13,underage_drinking,2.0,0,1
13,14,hotel,1.0,0,1
14,15,disobey_vape,1.0,1,1
15,16,burger,4.0,1,1
16,17,buckle_up,0.0,1,1
17,18,drugged_driving,1.0,1,1
18,19,salad,2.0,0,1
19,20,drunk_driving,0.0,1,0
